PRD145,01/10/2021,FAO18,PH1100,100
PRD662,02/10/2021,FAO18,PH1100,100
PRD651,03/10/2021,FAO18,PH1100,100
PRD064,04/10/2021,FAO18,PH1100,100
PRD236,05/10/2021,FAO18,PH1100,100
PRD610,06/10/2021,FAO18,PH1100,100
PRD089,07/10/2021,FAO18,PH1100,100
PRD175,08/10/2021,FAO18,PH1100,100
PRD120,09/10/2021,FAO18,PH1100,100
PRD492,10/10/2021,FAO18,PH1100,100
PRD692,11/10/2021,FAO18,PH1100,100
PRD211,12/10/2021,FAO18,PH1100,100
PRD917,13/10/2021,FAO18,PH1100,100
PRD898,14/10/2021,FAO18,PH1100,100
PRD154,15/10/2021,FAO18,PH1100,100
PRD413,16/10/2021,FAO18,PH1100,100
PRD377,17/10/2021,FAO18,PH1100,100
PRD760,19/10/2021,FAO18,PH1100,100
PRD761,20/10/2021,FAO18,PH1100,100
PRD081,21/10/2021,FAO18,PH1100,100
PRD644,22/10/2021,FAO18,PH1100,100
PRD270,23/10/2021,FAO18,PH1100,100
PRD021,24/10/2021,FAO18,PH1100,100
PRD007,25/10/2021,FAO18,PH1100,100
PRD340,26/10/2021,FAO18,PH1100,100
PRD424,27/10/2021,FAO18,PH1100,100
PRD119,28/10/2021,FAO18,PH1100,100
PRD070,29/10/2021,FAO18,PH1100,100
PRD582,30/10/2021,FAO18,PH1100,100
PRD396,31/10/2021,FAO18,PH1100,100
PRD658,01/11/2021,FAO18,PH1100,100
PRD992,02/11/2021,FAO18,PH1100,100
PRD379,03/11/2021,FAO18,PH1100,100
PRD900,04/11/2021,FAO18,PH1100,100
PRD612,05/11/2021,FAO18,PH1100,100
PRD521,06/11/2021,FAO18,PH1100,100
PRD134,07/11/2021,FAO18,PH1100,100
PRD406,08/11/2021,FAO18,PH1100,100
PRD030,09/11/2021,FAO18,PH1100,100
PRD665,10/11/2021,FAO18,PH1100,100
PRD034,11/11/2021,FAO18,PH1100,100
PRD490,12/11/2021,FAO18,PH1100,100
PRD899,13/11/2021,FAO18,PH1100,100
PRD955,14/11/2021,FAO18,PH1100,100
PRD846,15/11/2021,FAO18,PH1100,100
PRD716,16/11/2021,FAO18,PH1100,100
PRD388,17/11/2021,FAO18,PH1100,100
PRD842,18/11/2021,FAO18,PH1100,100
PRD380,19/11/2021,FAO18,PH1100,100
PRD520,20/11/2021,FAO18,PH1100,100
PRD145,21/11/2021,FAO18,PH1100,100
PRD662,22/11/2021,FAO18,PH1100,100
PRD651,23/11/2021,FAO18,PH1100,100
PRD064,24/11/2021,FAO18,PH1100,100
PRD236,25/11/2021,FAO18,PH1100,100
PRD610,26/11/2021,FAO18,PH1100,100
PRD089,27/11/2021,FAO18,PH1100,100
PRD175,28/11/2021,FAO18,PH1100,100
PRD120,29/11/2021,FAO18,PH1100,100
PRD492,30/11/2021,FAO18,PH1100,100
PRD692,01/09/2021,FAO18,PH1100,100
PRD211,02/09/2021,FAO18,PH1100,100
PRD917,03/09/2021,FAO18,PH1100,100
PRD898,04/09/2021,FAO18,PH1100,100
PRD154,06/09/2021,FAO18,PH1100,100
PRD413,07/09/2021,FAO18,PH1100,100
PRD377,08/09/2021,FAO18,PH1100,100
PRD760,09/09/2021,FAO18,PH1100,100
PRD761,10/09/2021,FAO18,PH1100,100
PRD081,11/09/2021,FAO18,PH1100,100
PRD644,12/09/2021,FAO18,PH1100,100
PRD270,13/09/2021,FAO18,PH1100,100
PRD021,14/09/2021,FAO18,PH1100,100
PRD007,15/09/2021,FAO18,PH1100,100
PRD340,16/09/2021,FAO18,PH1100,100
PRD424,17/09/2021,FAO18,PH1100,100
PRD119,18/09/2021,FAO18,PH1100,100
PRD070,19/09/2021,FAO18,PH1100,100
PRD582,20/09/2021,FAO18,PH1100,100
PRD396,21/09/2021,FAO18,PH1100,100
PRD658,22/09/2021,FAO18,PH1100,100
PRD992,23/09/2021,FAO18,PH1100,100
PRD379,24/09/2021,FAO18,PH1100,100
PRD900,25/09/2021,FAO18,PH1100,100
PRD612,26/09/2021,FAO18,PH1100,100
PRD521,27/09/2021,FAO18,PH1100,100
PRD134,28/09/2021,FAO18,PH1100,100
PRD406,29/09/2021,FAO18,PH1100,100
PRD030,30/09/2021,FAO18,PH1100,100
PRD665,01/08/2021,FAO18,PH1100,100
PRD034,02/08/2021,FAO18,PH1100,100
PRD490,03/08/2021,FAO18,PH1100,100
PRD899,04/08/2021,FAO18,PH1100,100
PRD955,05/08/2021,FAO18,PH1100,100
PRD846,06/08/2021,FAO18,PH1100,100
PRD716,07/08/2021,FAO18,PH1100,100
PRD388,08/08/2021,FAO18,PH1100,100
PRD842,09/08/2021,FAO18,PH1100,100
PRD380,10/08/2021,FAO18,PH1100,100
PRD520,11/08/2021,FAO18,PH1100,100